"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.885469966,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.448043609,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.732399446,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.929981219,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.099552021,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.548706375,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.297317784,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.725886837,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.444614417,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.882506111,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.938593306,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","A","Annual","2020","2020","PC","Percentage","0","Units",,,-2.453618434,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,1.012096634,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,0.569341101,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change from previous quarter","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,0.291063892,,
